5 to 17,18 to 64,65+,Native,Foreign born,Naturalized U.S. citizen,Not a U.S. citizen,Below poverty level,At or above poverty level,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree or higher,State,Language
17.1,63.2,19.7,99.2,0.8,0.6,0.3,15.4,84.6,10.5,30.7,30.2,28.6,Alabama,Only English
20.6,71.1,8.2,45.3,54.7,19.5,35.2,20.5,79.5,23.3,25.8,18.2,32.7,Alabama,Other Language
26.8,67.8,5.4,55.1,44.9,12.3,32.5,26.3,73.7,31.7,28.9,18.8,20.6,Alabama,Spanish
19.5,65.2,15.2,98.1,1.9,1.1,0.7,10,90,5.1,27.9,34.6,32.4,Alaska,Only English
14.9,72.8,12.4,58.9,41.1,25.7,15.4,12.5,87.5,14.6,35.5,28.6,21.4,Alaska,Other Language
15.6,77.8,6.6,74.4,25.6,15.4,10.2,4.3,95.7,16,24.2,34.9,24.9,Alaska,Spanish
17.3,60.2,22.5,96.8,3.2,1.9,1.3,10.7,89.3,6,22.9,35,36.2,Arizona,Only English
16.8,70.9,12.3,56.5,43.5,20.8,22.7,16.2,83.8,24.9,26.4,25,23.8,Arizona,Other Language
18.4,70.7,10.8,60.6,39.4,16.2,23.2,16.2,83.8,29.5,28.1,26,16.4,Arizona,Spanish
17.8,62.4,19.8,98.7,1.3,0.6,0.6,16,84,9.2,34.9,30.3,25.7,Arkansas,Only English
21.2,71.7,7.1,48,52,17,35.1,18.5,81.5,30.9,27.4,19.4,22.3,Arkansas,Other Language
23.8,69.8,6.4,52.1,47.9,14.2,33.7,18.4,81.6,38.5,29.4,19.1,13,Arkansas,Spanish
18.4,62.7,18.9,93.8,6.2,3.9,2.3,10.7,89.3,6.5,19.4,31.8,42.4,California,Only English
15.9,70.2,13.9,44.3,55.7,29.7,26,13.7,86.3,26.2,21.9,21.6,30.4,California,Other Language
18.8,71.1,10.1,55.3,44.7,18.3,26.3,15.1,84.9,35.8,26.4,22.8,15,California,Spanish
16.3,66,17.8,97.7,2.3,1.5,0.8,9,91,4.2,19.6,27.9,48.4,Colorado,Only English
16.9,72.9,10.2,50.1,49.9,22.7,27.2,11.2,88.8,21.9,23.3,22,32.8,Colorado,Other Language
18.7,72.7,8.6,58.1,41.9,14.4,27.5,11.1,88.9,28.6,28.1,22.8,20.4,Colorado,Spanish
16.2,62.7,21,94.5,5.5,3.7,1.8,8.1,91.9,5.1,25.7,24.5,44.7,Connecticut,Only English
15.3,71.4,13.4,48,52,26.8,25.3,14.7,85.3,19.6,26.8,21,32.6,Connecticut,Other Language
16.9,73.2,9.9,62.7,37.3,15.3,22,18,82,26,32.4,22.7,18.9,Connecticut,Spanish
15.5,61,23.5,96.9,3.1,2.1,1,8.7,91.3,6.4,28.9,28.7,36,Delaware,Only English
